id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2020-12-06,14,2.6,6,130,82.8,0,1021.3
12600,"Bielsko Biała",2020-12-06,14,12,6,120,50.7,0,1008.7
12235,Chojnice,2020-12-06,14,5.9,8,130,85.0,0,1010.8
12550,Częstochowa,2020-12-06,14,9.1,4,90,73.7,0,1009.8
12160,Elbląg,2020-12-06,14,4.1,7,130,89.9,0,1014
12155,Gdańsk,2020-12-06,14,6.1,9,140,82.7,0,1013.2
12300,Gorzów,2020-12-06,14,10.4,4,100,71.9,0.1,1003.6
12135,Hel,2020-12-06,14,7.2,7,140,79.9,0,1013.5
12500,"Jelenia Góra",2020-12-06,14,10.5,10,140,68.4,0,1003.1
12435,Kalisz,2020-12-06,14,10.1,5,110,75.9,0,1008.5
12650,"Kasprowy Wierch",2020-12-06,14,-0.9,15,140,84.9,0,
12560,Katowice,2020-12-06,14,11.5,3,60,65.8,0,1009
12185,Kętrzyn,2020-12-06,14,2.2,9,130,87.1,0,1017.7
12570,Kielce,2020-12-06,14,3.6,5,100,83.6,0,1014.5
12520,Kłodzko,2020-12-06,14,10,9,170,77.0,0,1004.4
12345,Koło,2020-12-06,14,6.6,7,100,82.7,0,1010.5
12100,Kołobrzeg,2020-12-06,14,10.2,8,150,71.8,0,1004.6
12105,Koszalin,2020-12-06,14,9.3,5,140,74.8,0,1006.4
12488,Kozienice,2020-12-06,14,3.2,4,120,82.9,0,1017.3
12566,Kraków,2020-12-06,14,11.1,5,60,61.7,0,1010.3
12670,Krosno,2020-12-06,14,4.4,5,90,79.0,0,1015.9
12415,Legnica,2020-12-06,14,11.5,8,110,69.6,0,1004.1
12690,Lesko,2020-12-06,14,3.7,4,100,83.0,0,1016.2
12418,Leszno,2020-12-06,14,12.5,4,120,59.4,0,1005.1
12125,Lębork,2020-12-06,14,7.5,7,130,77.7,0,1010
12495,Lublin,2020-12-06,14,2.3,7,140,89.1,0,1018.6
12120,Łeba,2020-12-06,14,7.4,7,150,81.1,0,1009.9
12465,Łódź,2020-12-06,14,6.5,9,90,78.7,0,1011.4
12280,Mikołajki,2020-12-06,14,2.1,8,120,85.9,0,1018.8
12270,Mława,2020-12-06,14,3.4,7,120,87.9,0,1016
12660,"Nowy Sącz",2020-12-06,14,12.4,4,130,54.6,0,1012
12272,Olsztyn,2020-12-06,14,3.4,7,120,86.0,0,1015.7
12530,Opole,2020-12-06,14,13.8,6,130,51.5,0,1006.8
12285,Ostrołęka,2020-12-06,14,3,5,120,83.5,0,1018.8
12230,Piła,2020-12-06,14,8.5,5,100,79.0,0,1008
12001,Platforma,2020-12-06,14,6.8,18,140,85.1,0,1011.2
12360,Płock,2020-12-06,14,4.6,8,130,83.7,0,1014
12330,Poznań,2020-12-06,14,10.1,8,110,73.9,0,1006.5
12695,Przemyśl,2020-12-06,14,1.2,4,110,96.4,0,1019.6
12540,Racibórz,2020-12-06,14,12.4,5,120,60.7,0,1007.4
12210,Resko,2020-12-06,14,9.7,6,110,73.8,0,1004.7
12580,Rzeszów,2020-12-06,14,1.7,10,90,93.7,0,1017.9
12585,Sandomierz,2020-12-06,14,2.3,7,110,89.7,0,1017.1
12385,Siedlce,2020-12-06,14,2.9,8,120,84.1,0,1018.9
12310,Słubice,2020-12-06,14,12.5,5,130,64.6,0,1001.8
12469,Sulejów,2020-12-06,14,6.9,4,90,76.0,0,1012.2
12195,Suwałki,2020-12-06,14,1.9,7,130,85.9,0,1021.4
12205,Szczecin,2020-12-06,14,10.9,9,120,69.5,0,1002.9
12215,Szczecinek,2020-12-06,14,7.1,9,120,86.4,0,1008.2
12510,Śnieżka,2020-12-06,14,0.8,27,200,99.3,0.8,
12200,Świnoujście,2020-12-06,14,9.9,2,170,72.8,0,1002.7
12575,Tarnów,2020-12-06,14,7.4,3,80,75.5,0,1013.6
12399,Terespol,2020-12-06,14,2.7,5,120,81.1,0,1022
12250,Toruń,2020-12-06,14,6.3,6,110,80.9,0,1011.9
12115,Ustka,2020-12-06,14,8.3,5,160,79.5,0,1008.2
12375,Warszawa,2020-12-06,14,3.7,10,110,83.6,0,1016.2
12455,Wieluń,2020-12-06,14,9.7,5,130,72.8,0,1008.9
12497,Włodawa,2020-12-06,14,2.5,7,140,79.9,0,1021.6
12424,Wrocław,2020-12-06,14,12.2,7,110,63.7,0,1005.3
12625,Zakopane,2020-12-06,14,9,2,260,51.8,0,
12595,Zamość,2020-12-06,14,2.6,7,120,82.8,0,1020.3
12400,"Zielona Góra",2020-12-06,14,11.3,5,130,68.6,0,1003.3
