id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2020-12-06,15,2.4,5,130,81.6,0,1021.6
12600,"Bielsko Biała",2020-12-06,15,10.2,2,60,56.8,0,1009
12235,Chojnice,2020-12-06,15,5.4,8,130,85.6,0,1010.6
12550,Częstochowa,2020-12-06,15,6.7,4,80,81.6,0,1010.1
12160,Elbląg,2020-12-06,15,3.6,7,130,91.1,0,1014.1
12155,Gdańsk,2020-12-06,15,5.6,9,140,83.8,0,1013.3
12300,Gorzów,2020-12-06,15,10,4,110,72.8,0.1,1003.7
12135,Hel,2020-12-06,15,6.9,8,150,79.9,0,1013.5
12500,"Jelenia Góra",2020-12-06,15,10.1,11,140,69.8,0,1002.8
12435,Kalisz,2020-12-06,15,8.8,5,110,79.6,0,1008.5
12650,"Kasprowy Wierch",2020-12-06,15,-0.3,15,150,67.7,0,
12560,Katowice,2020-12-06,15,9.5,3,90,70.7,0,1008.9
12185,Kętrzyn,2020-12-06,15,2.3,9,130,84.7,0,1017.8
12570,Kielce,2020-12-06,15,2.5,4,100,87.8,0,1014.6
12520,Kłodzko,2020-12-06,15,10.3,8,170,71.8,0,1004.5
12345,Koło,2020-12-06,15,5.6,8,90,85.0,0,1010.7
12100,Kołobrzeg,2020-12-06,15,9.4,8,150,74.8,0,1004.4
12105,Koszalin,2020-12-06,15,8.2,6,140,77.8,0,1006.4
12488,Kozienice,2020-12-06,15,3.3,5,120,82.9,0,1017
12566,Kraków,2020-12-06,15,10.3,5,60,64.6,0,1010.1
12670,Krosno,2020-12-06,15,2.7,5,80,85.9,0,1015.5
12415,Legnica,2020-12-06,15,11.4,7,110,68.6,0,1004
12690,Lesko,2020-12-06,15,1.9,3,110,89.7,0,1016.4
12418,Leszno,2020-12-06,15,10.5,4,90,68.4,0,1005.3
12125,Lębork,2020-12-06,15,7.1,7,120,78.8,0,1010.5
12495,Lublin,2020-12-06,15,2.4,6,140,87.2,0,1018.8
12120,Łeba,2020-12-06,15,6.9,8,140,81.6,0,1009.9
12465,Łódź,2020-12-06,15,5.4,7,100,82.0,0,1011.9
12280,Mikołajki,2020-12-06,15,2.4,10,120,84.0,0,1018.8
12270,Mława,2020-12-06,15,3.1,6,120,87.9,0,1016
12660,"Nowy Sącz",2020-12-06,15,10.5,3,110,62.4,0,1011.8
12272,Olsztyn,2020-12-06,15,3,6,120,86.0,0,1016.4
12530,Opole,2020-12-06,15,12.7,6,120,54.6,0,1006.8
12285,Ostrołęka,2020-12-06,14,3,5,120,83.5,0,1018.8
12230,Piła,2020-12-06,15,7.3,6,100,81.6,0,1007.8
12001,Platforma,2020-12-06,15,6.5,17,150,83.9,0,1011.2
12360,Płock,2020-12-06,15,4.1,7,120,83.6,0,1014.1
12330,Poznań,2020-12-06,15,9.4,7,110,75.8,0,1006.5
12695,Przemyśl,2020-12-06,14,1.2,4,110,96.4,0,1019.6
12540,Racibórz,2020-12-06,14,12.4,5,120,60.7,0,1007.4
12210,Resko,2020-12-06,15,9.2,5,110,75.8,0,1004.7
12580,Rzeszów,2020-12-06,15,1.6,10,100,93.7,0,1017.6
12585,Sandomierz,2020-12-06,14,2.3,7,110,89.7,0,1017.1
12385,Siedlce,2020-12-06,15,3,9,120,81.7,0,1018.8
12310,Słubice,2020-12-06,15,11.3,4,120,69.6,0,1001.9
12469,Sulejów,2020-12-06,15,4.8,5,90,83.1,0,1012.6
12195,Suwałki,2020-12-06,15,2.2,7,130,84.0,0,1021.4
12205,Szczecin,2020-12-06,15,10.1,9,120,72.8,0,1003
12215,Szczecinek,2020-12-06,15,6.2,8,120,88.8,0,1008.1
12510,Śnieżka,2020-12-06,15,0.7,26,200,99.3,0.8,
12200,Świnoujście,2020-12-06,15,9.6,2,180,72.7,0,1002.8
12575,Tarnów,2020-12-06,15,5.1,3,70,82.5,0,1013.8
12399,Terespol,2020-12-06,14,2.7,5,120,81.1,0,1022
12250,Toruń,2020-12-06,15,5.8,7,110,80.9,0,1011.7
12115,Ustka,2020-12-06,15,7.5,5,150,81.7,0,1008.1
12375,Warszawa,2020-12-06,15,3.5,9,110,83.6,0,1016.3
12455,Wieluń,2020-12-06,15,8.5,5,120,75.7,0,1009.1
12497,Włodawa,2020-12-06,15,2.1,6,140,81.0,0,1021.6
12424,Wrocław,2020-12-06,15,12.9,9,100,58.7,0,1005.1
12625,Zakopane,2020-12-06,15,6.9,2,70,60.7,0,
12595,Zamość,2020-12-06,15,2.2,8,120,84.6,0,1020.1
12400,"Zielona Góra",2020-12-06,14,11.3,5,130,68.6,0,1003.3
